car_id,trajectory
461012c0,['POI4']
461012c5,"['POI9', 'POI38']"
461012cc,['POI12']
461012cf,"['POI25', 'POI12', 'POI25']"
461012d1,['POI25']
461012dc,['POI42']
461012dd,"['POI5', 'POI30', 'POI4']"
461012ea,"['POI46', 'POI4', 'POI49', 'POI30', 'POI32', 'POI12']"
461012f3,['POI25']
461012f7,[]
461012fe,['POI6']
4610130a,['POI20']
4610130f,"['POI12', 'POI25']"
46101317,['POI19']
46101319,[]
46101322,[]
4610132a,"['POI24', 'POI44', 'POI16', 'POI40']"
4610132e,"['POI20', 'POI7', 'POI20']"
4610132f,['POI19']
46101330,[]
46101332,['POI11']
4610133c,['POI28']
4610135a,"['POI19', 'POI25']"
4610135f,"['POI11', 'POI32', 'POI19']"
46101776,"['POI19', 'POI12']"
46101777,"['POI5', 'POI32', 'POI12']"
46101780,"['POI19', 'POI12']"
46101781,"['POI12', 'POI19', 'POI47']"
46101790,"['POI19', 'POI25', 'POI12']"
46101795,"['POI36', 'POI18', 'POI37']"
4610179a,['POI12']
461017a8,"['POI12', 'POI19']"
461017b6,"['POI29', 'POI10', 'POI17', 'POI46', 'POI4']"
461017c5,['POI25']
461017d0,[]
461017d5,[]
461017d8,"['POI46', 'POI17']"
461017e4,"['POI0', 'POI25', 'POI19']"
461017e6,['POI3']
461017f3,['POI12']
461017f4,['POI12']
461017f7,"['POI15', 'POI13', 'POI15', 'POI48', 'POI8', 'POI7']"
46101805,['POI6']
46101815,"['POI19', 'POI25', 'POI12']"
46101818,"['POI4', 'POI30', 'POI32']"
46101826,"['POI24', 'POI34', 'POI47', 'POI36']"
4610182f,['POI4']
4610183a,['POI3']
4610183e,"['POI4', 'POI49', 'POI30', 'POI32']"
46101847,"['POI9', 'POI38', 'POI0', 'POI25']"
46101849,"['POI19', 'POI25', 'POI19', 'POI25']"
4610185c,"['POI37', 'POI18', 'POI28', 'POI12', 'POI19', 'POI0', 'POI25']"
4610185d,"['POI19', 'POI25']"
4610186b,"['POI1', 'POI30', 'POI32', 'POI12', 'POI25']"
4610188f,['POI25']
461018af,['POI25']
461018b4,[]
461018b8,[]
461018b9,['POI39']
461018bf,"['POI19', 'POI25', 'POI12', 'POI28', 'POI18', 'POI37', 'POI6']"
461018ce,"['POI49', 'POI1']"
461018df,"['POI19', 'POI25']"
461018f4,"['POI8', 'POI48', 'POI8']"
461018f9,[]
46101900,"['POI4', 'POI30', 'POI26', 'POI41']"
46101902,['POI46']
46101907,['POI46']
46101908,['POI13']
46101911,[]
46101914,"['POI32', 'POI12', 'POI25']"
46101918,"['POI25', 'POI19']"
46101923,[]
46101929,"['POI32', 'POI12', 'POI25']"
4610192d,[]
46101936,[]
4610193a,"['POI19', 'POI25', 'POI12']"
46101944,['POI12']
46101956,['POI49']
46101958,"['POI38', 'POI0']"
4610195e,"['POI38', 'POI19', 'POI12', 'POI28']"
4610196c,['POI49']
46101976,[]
46101978,['POI28']
4610197f,['POI37']
46101992,['POI0']
46101bc2,"['POI9', 'POI38', 'POI19', 'POI25']"
