461005e4,"['POI10', 'POI29']"
461005e5,"['POI43', 'POI3', 'POI41']"
461005e9,"['POI6', 'POI37', 'POI18', 'POI28']"
461005ec,"['POI9', 'POI33']"
461005ee,"['POI3', 'POI31', 'POI21']"
461005f3,"['POI38', 'POI19']"
461005ff,"['POI41', 'POI3']"
46100603,[]
46100606,"['POI24', 'POI44', 'POI40', 'POI9', 'POI38', 'POI19']"
46100608,"['POI19', 'POI38']"
4610060a,['POI19']
4610060e,"['POI24', 'POI2', 'POI34', 'POI47']"
4610060f,"['POI19', 'POI36', 'POI18', 'POI37']"
46100610,['POI22']
46100611,['POI21']
46100617,"['POI29', 'POI10', 'POI17']"
46100619,['POI44']
4610061b,['POI41']
4610061c,"['POI3', 'POI41', 'POI6']"
46100622,[]
46100624,"['POI41', 'POI3']"
4610062f,[]
46100633,[]
46100634,[]
46100635,['POI25']
46100637,"['POI6', 'POI37']"
4610063a,"['POI46', 'POI17', 'POI10']"
4610063d,['POI36']
46100643,"['POI30', 'POI1']"
46100644,['POI8']
4610064e,"['POI23', 'POI29', 'POI8']"
4610064f,"['POI28', 'POI25']"
46100652,"['POI37', 'POI18']"
46100653,"['POI1', 'POI49']"
46100656,"['POI47', 'POI34', 'POI7']"
4610065b,[]
4610065f,[]
46100662,"['POI18', 'POI37', 'POI6']"
46100667,"['POI15', 'POI7']"
46100669,['POI8']
4610066c,['POI46']
46100670,['POI7']
46100673,['POI6']
46100675,['POI6']
46100676,"['POI26', 'POI42', 'POI13', 'POI15']"
46100679,['POI23']
4610067f,"['POI3', 'POI41']"
46100681,[]
46100682,"['POI6', 'POI41']"
46100684,"['POI35', 'POI5']"
46100685,['POI0']
46100688,"['POI9', 'POI38']"
4610068c,['POI6']
46100691,['POI25']
46100696,['POI41']
4610069c,['POI0']
4610069e,['POI39']
461006a6,[]
461006a7,"['POI19', 'POI12', 'POI28', 'POI18', 'POI37']"
461006a8,['POI30']
461006ae,[]
461006b1,['POI20']
461006b2,"['POI25', 'POI12', 'POI28']"
461006b6,"['POI0', 'POI19', 'POI12', 'POI28']"
461006b7,[]
461006b8,[]
461006bb,"['POI30', 'POI26', 'POI6']"
461006bc,"['POI9', 'POI38', 'POI19']"
461006bf,"['POI28', 'POI12', 'POI25']"
461006c3,['POI46']
461006c4,"['POI46', 'POI4']"
461006c9,[]
461006cc,[]
461006ce,"['POI19', 'POI32']"
461006d1,[]
461006d2,['POI47']
461006d6,['POI28']
461006d7,['POI9']
461006d8,[]
461006d9,['POI28']
461006da,['POI28']
461006dd,"['POI15', 'POI47', 'POI19']"
461006e3,['POI44']
461006e5,"['POI4', 'POI49', 'POI30', 'POI32', 'POI36']"
461006ea,"['POI27', 'POI49', 'POI1']"
461006eb,[]
461006ec,"['POI0', 'POI25', 'POI12', 'POI28']"
461006ed,['POI1']
461006ef,['POI38']
461006f0,"['POI3', 'POI41']"
46100700,"['POI20', 'POI7']"
46100702,"['POI40', 'POI16', 'POI44']"
46100704,"['POI7', 'POI24']"
46100707,"['POI11', 'POI27', 'POI30']"
46100708,['POI34']
4610070a,['POI0']
4610070b,"['POI6', 'POI41', 'POI3', 'POI31', 'POI3', 'POI41']"
4610070c,['POI30']
4610070f,"['POI3', 'POI41', 'POI26', 'POI42']"
46100716,['POI43']
46100717,['POI9']
4610071c,"['POI7', 'POI34']"
46100720,"['POI45', 'POI47']"
46100722,['POI0']
46100724,['POI3']
46100728,"['POI27', 'POI30']"
4610072b,['POI36']
4610072c,"['POI0', 'POI25', 'POI12', 'POI28']"
46100731,[]
46100733,"['POI49', 'POI27', 'POI35']"
46100734,"['POI15', 'POI47']"
4610073b,"['POI6', 'POI37']"
4610073c,"['POI24', 'POI7']"
4610073d,"['POI20', 'POI24']"
4610073f,['POI43']
46100741,"['POI9', 'POI40', 'POI16', 'POI44', 'POI24']"
46100744,['POI19']
46100747,['POI36']
46100748,['POI30']
46100751,['POI28']
46100754,"['POI46', 'POI17', 'POI23', 'POI45']"
46100757,"['POI0', 'POI25', 'POI19', 'POI32', 'POI30']"
46100759,['POI10']
4610075c,['POI46']
4610075d,['POI6']
46100768,[]
4610076a,['POI19']
46100772,"['POI42', 'POI13', 'POI45']"
46100773,['POI9']
46100774,[]
46100776,['POI19']
46100777,"['POI36', 'POI19', 'POI0', 'POI25', 'POI19', 'POI25']"
46100779,[]
4610077a,['POI38']
4610077b,['POI3']
4610077e,[]
46100780,['POI10']
46100781,"['POI8', 'POI48', 'POI15', 'POI47']"
46100783,['POI21']
46100784,[]
46100785,['POI3']
4610078b,[]
4610078c,"['POI3', 'POI41']"
4610078d,['POI6']
4610078f,"['POI40', 'POI44']"
46100790,[]
46100793,"['POI43', 'POI5', 'POI30', 'POI49', 'POI4', 'POI46']"
4610079e,[]
461007a2,"['POI40', 'POI16']"
461007ac,"['POI12', 'POI25', 'POI0', 'POI19']"
461007ae,[]
461007b2,"['POI24', 'POI2', 'POI34', 'POI47']"
461007c6,"['POI40', 'POI9']"
461007d1,"['POI25', 'POI12', 'POI28', 'POI18', 'POI37', 'POI6', 'POI41']"
461007e2,['POI12']
461007eb,['POI36']
461007f5,"['POI9', 'POI38', 'POI19']"
461007ff,[]
46100820,"['POI39', 'POI11']"
46100821,['POI8']
46100822,"['POI25', 'POI0']"
46100831,['POI19']
46100832,"['POI19', 'POI28']"
46100899,"['POI28', 'POI12', 'POI19', 'POI0']"
461008a1,['POI49']
461008a2,['POI30']
461008a8,[]
