461000f0,"['POI4', 'POI41', 'POI3', 'POI41', 'POI4', 'POI46', 'POI4']"
461000f1,"['POI34', 'POI13', 'POI42']"
461000f5,"['POI19', 'POI32', 'POI30', 'POI4', 'POI46', 'POI4', 'POI46']"
461000f6,"['POI1', 'POI49', 'POI30', 'POI32', 'POI36']"
461000fb,"['POI19', 'POI12', 'POI19', 'POI32', 'POI30', 'POI49', 'POI1', 'POI0', 'POI19']"
461000fe,"['POI45', 'POI23', 'POI17', 'POI46', 'POI4', 'POI30', 'POI32', 'POI36', 'POI47', 'POI45', 'POI29', 'POI10', 'POI17', 'POI46', 'POI4', 'POI46', 'POI17', 'POI23', 'POI45']"
461000ff,['POI45']
46100100,"['POI30', 'POI26', 'POI6', 'POI37', 'POI18', 'POI28', 'POI12', 'POI19', 'POI0', 'POI19', 'POI12', 'POI28']"
46100102,"['POI9', 'POI38', 'POI19', 'POI36', 'POI19']"
46100103,"['POI45', 'POI47', 'POI36', 'POI18', 'POI36', 'POI32', 'POI30', 'POI46']"
46100106,"['POI36', 'POI19']"
46100107,"['POI3', 'POI41', 'POI3', 'POI41', 'POI3', 'POI41']"
46100108,"['POI2', 'POI34', 'POI13', 'POI23', 'POI17', 'POI46', 'POI4']"
4610010b,"['POI28', 'POI19', 'POI0', 'POI19']"
46100113,[]
46100115,[]
46100119,"['POI8', 'POI48', 'POI15', 'POI40', 'POI9', 'POI45', 'POI29']"
4610011a,"['POI32', 'POI19']"
4610011c,"['POI30', 'POI41']"
4610011d,"['POI9', 'POI40', 'POI16', 'POI40', 'POI9', 'POI38', 'POI19']"
4610011e,"['POI8', 'POI10', 'POI46']"
4610011f,"['POI49', 'POI32', 'POI19', 'POI32']"
46100120,"['POI28', 'POI18', 'POI37', 'POI6', 'POI41', 'POI3', 'POI19']"
46100121,"['POI9', 'POI40', 'POI44', 'POI24', 'POI20', 'POI24', 'POI44', 'POI16', 'POI40', 'POI9']"
46100122,"['POI7', 'POI20', 'POI7']"
46100124,"['POI30', 'POI4', 'POI30', 'POI37', 'POI28', 'POI12', 'POI19', 'POI0', 'POI19', 'POI25']"
46100126,"['POI0', 'POI19', 'POI28', 'POI12', 'POI19', 'POI0', 'POI47', 'POI34']"
46100129,[]
4610012a,"['POI7', 'POI24', 'POI44']"
4610012d,"['POI36', 'POI28', 'POI12', 'POI19', 'POI20']"
46100130,"['POI9', 'POI38', 'POI19', 'POI0', 'POI9']"
46100133,"['POI28', 'POI12', 'POI19', 'POI25', 'POI19', 'POI28', 'POI18', 'POI36']"
46100136,"['POI0', 'POI38', 'POI40', 'POI16', 'POI44', 'POI24', 'POI44', 'POI16', 'POI40', 'POI9', 'POI0', 'POI25', 'POI19']"
46100137,"['POI20', 'POI34', 'POI13', 'POI19', 'POI12', 'POI19', 'POI12', 'POI25', 'POI19', 'POI47', 'POI34']"
46100138,"['POI20', 'POI7', 'POI29', 'POI10', 'POI17', 'POI46', 'POI4', 'POI30', 'POI32', 'POI19', 'POI25', 'POI19', 'POI25', 'POI19', 'POI32', 'POI30', 'POI49', 'POI4']"
4610013a,"['POI24', 'POI44', 'POI16', 'POI40', 'POI38', 'POI19', 'POI25', 'POI47', 'POI15', 'POI7', 'POI20']"
4610013d,"['POI49', 'POI1']"
4610013f,"['POI2', 'POI24']"
46100140,"['POI19', 'POI36', 'POI19']"
46100142,"['POI49', 'POI27', 'POI49', 'POI4', 'POI49', 'POI27']"
46100144,"['POI19', 'POI25', 'POI19', 'POI36', 'POI28', 'POI12', 'POI19']"
46100145,"['POI26', 'POI30', 'POI49', 'POI4', 'POI46', 'POI17', 'POI10']"
46100146,"['POI6', 'POI30', 'POI46']"
46100148,"['POI25', 'POI0', 'POI25']"
46100149,"['POI49', 'POI4', 'POI46']"
4610014a,"['POI37', 'POI27', 'POI49', 'POI4', 'POI30']"
4610014b,"['POI46', 'POI4', 'POI49', 'POI4', 'POI46', 'POI17', 'POI10']"
4610014f,"['POI28', 'POI12', 'POI19']"
46100152,"['POI9', 'POI19', 'POI12']"
46100154,"['POI3', 'POI43']"
46100155,[]
46100156,"['POI49', 'POI30', 'POI32', 'POI18', 'POI37', 'POI6', 'POI41', 'POI26', 'POI30', 'POI49', 'POI1', 'POI4', 'POI46', 'POI4', 'POI1', 'POI49', 'POI1', 'POI49', 'POI1']"
46100158,"['POI21', 'POI26', 'POI32', 'POI19', 'POI47', 'POI29', 'POI10', 'POI17', 'POI46']"
46100159,"['POI4', 'POI46', 'POI17', 'POI10', 'POI29']"
4610015a,"['POI3', 'POI41', 'POI28', 'POI12', 'POI19', 'POI0', 'POI19', 'POI46']"
4610015b,"['POI9', 'POI40', 'POI16', 'POI44', 'POI24']"
4610015c,['POI38']
