j_50_cd,left,top,right,bottom,xcoord,ycoord,oid_count
1459333,918950,1498800,919000,1498750,918975,1498775,16
1470176,919800,1493950,919850,1493900,919825,1493925,16
1505762,922650,1505950,922700,1505900,922675,1505925,16
1649794,934500,1507450,934550,1507400,934525,1507425,16
1741473,945100,1498600,945150,1498550,945125,1498575,16
1003003,876600,1484300,876650,1484250,876625,1484275,15
1023921,880750,1488500,880800,1488450,880775,1488475,15
1024237,880800,1488500,880850,1488450,880825,1488475,15
1058323,885050,1491600,885100,1491550,885075,1491575,15
1059516,885150,1489250,885200,1489200,885175,1489225,15
1099421,888850,1485000,888900,1484950,888875,1484975,15
1106673,889550,1497300,889600,1497250,889575,1497275,15
1109207,889750,1479800,889800,1479750,889775,1479775,15
1110803,889900,1479900,889950,1479850,889925,1479875,15
1202733,898200,1474700,898250,1474650,898225,1474675,15
1202755,898200,1473600,898250,1473550,898225,1473575,15
1209213,898800,1474600,898850,1474550,898825,1474575,15
1209787,898850,1473300,898900,1473250,898875,1473275,15
1210865,898950,1474300,899000,1474250,898975,1474275,15
1219761,899750,1472900,899800,1472850,899775,1472875,15
1227225,900400,1473700,900450,1473650,900425,1473675,15
1286958,905450,1500950,905500,1500900,905475,1500925,15
1290148,905700,1498250,905750,1498200,905725,1498225,15
1321953,908200,1503000,908250,1502950,908225,1502975,15
1324476,908400,1503050,908450,1503000,908425,1503025,15
1328841,908750,1503200,908800,1503150,908775,1503175,15
1378380,912650,1473550,912700,1473500,912675,1473525,15
1471990,919950,1499250,920000,1499200,919975,1499225,15
1607598,930850,1496050,930900,1496000,930875,1496025,15
1623138,932150,1491150,932200,1491100,932175,1491125,15
1697337,938800,1481800,938850,1481750,938825,1481775,15
1697340,938800,1481650,938850,1481600,938825,1481625,15
1704581,939650,1504700,939700,1504650,939675,1504675,15
1741657,945150,1500200,945200,1500150,945175,1500175,15
1741860,945200,1498350,945250,1498300,945225,1498325,15
1743650,945900,1494250,945950,1494200,945925,1494225,15
1743791,946000,1495000,946050,1494950,946025,1494975,15
1743935,946100,1495500,946150,1495450,946125,1495475,15
1744434,946600,1493650,946650,1493600,946625,1493625,15
1744695,946900,1492600,946950,1492550,946925,1492575,15
1745287,947550,1497300,947600,1497250,947575,1497275,15
1029635,881550,1472600,881600,1472550,881575,1472575,14
1045147,883600,1470500,883650,1470450,883625,1470475,14
1067056,885800,1477550,885850,1477500,885825,1477525,14
1083281,887300,1480000,887350,1479950,887325,1479975,14
1091893,888100,1471100,888150,1471050,888125,1471075,14
1105561,889450,1497500,889500,1497450,889475,1497475,14
1105564,889450,1497350,889500,1497300,889475,1497325,14
1109731,889800,1480300,889850,1480250,889825,1480275,14
1111478,889950,1472650,890000,1472600,889975,1472625,14
1134807,892100,1497900,892150,1497850,892125,1497875,14
1138835,892450,1490000,892500,1489950,892475,1489975,14
1140505,892600,1490100,892650,1490050,892625,1490075,14
1144751,893000,1498500,893050,1498450,893025,1498475,14
1152150,893650,1484750,893700,1484700,893675,1484725,14
1210323,898900,1473900,898950,1473850,898925,1473875,14
1210339,898900,1473100,898950,1473050,898925,1473075,14
1211439,899000,1473100,899050,1473050,899025,1473075,14
1212508,899100,1474650,899150,1474600,899125,1474625,14
1219744,899750,1473750,899800,1473700,899775,1473725,14
1224354,900150,1472650,900200,1472600,900175,1472625,14
1233598,900950,1472350,901000,1472300,900975,1472325,14
1246838,902150,1500750,902200,1500700,902175,1500725,14
1268751,904000,1502100,904050,1502050,904025,1502075,14
1288833,905600,1501000,905650,1500950,905625,1500975,14
1290058,905700,1502750,905750,1502700,905725,1502725,14
1292579,905850,1471900,905900,1471850,905875,1471875,14
1297109,906250,1500200,906300,1500150,906275,1500175,14
1305432,906900,1501850,906950,1501800,906925,1501825,14
1308642,907150,1501650,907200,1501600,907175,1501625,14
1313071,907500,1503200,907550,1503150,907525,1503175,14
1313769,907550,1500200,907600,1500150,907575,1500175,14
1327600,908650,1503150,908700,1503100,908675,1503125,14
1331324,908950,1502650,909000,1502600,908975,1502625,14
1339983,909650,1503300,909700,1503250,909675,1503275,14
1450917,918250,1474000,918300,1473950,918275,1473975,14
1511254,923100,1505750,923150,1505700,923125,1505725,14
1608196,930900,1496050,930950,1496000,930925,1496025,14
1632321,932950,1494900,933000,1494850,932975,1494875,14
1632323,932950,1494800,933000,1494750,932975,1494775,14
1666875,936000,1500200,936050,1500150,936025,1500175,14
1697338,938800,1481750,938850,1481700,938825,1481725,14
1698752,938950,1481450,939000,1481400,938975,1481425,14
1744583,946800,1493300,946850,1493250,946825,1493275,14
1017073,879600,1487200,879650,1487150,879625,1487175,13
1043908,883450,1470350,883500,1470300,883475,1470325,13
1083284,887300,1479850,887350,1479800,887325,1479825,13
1092406,888150,1471150,888200,1471100,888175,1471125,13
1099953,888900,1485100,888950,1485050,888925,1485075,13
1103976,889300,1496650,889350,1496600,889325,1496625,13
1106122,889500,1497150,889550,1497100,889525,1497125,13
1108664,889700,1480250,889750,1480200,889725,1480225,13
1108665,889700,1480200,889750,1480150,889725,1480175,13
1111862,890000,1479950,890050,1479900,890025,1479925,13
1205588,898500,1492850,898550,1492800,898525,1492825,13
1209766,898850,1474350,898900,1474300,898875,1474325,13
1217513,899550,1472900,899600,1472850,899575,1472875,13
1298962,906400,1503550,906450,1503500,906425,1503525,13
1302894,906700,1499650,906750,1499600,906725,1499625,13
1311192,907350,1501750,907400,1501700,907375,1501725,13
1331936,909000,1502950,909050,1502900,909025,1502925,13
1359503,911150,1472600,911200,1472550,911175,1472575,13
1385596,913250,1503050,913300,1503000,913275,1503025,13
1460689,919050,1494600,919100,1494550,919075,1494575,13
1493480,921600,1476250,921650,1476200,921625,1476225,13
1494724,921700,1476250,921750,1476200,921725,1476225,13
1507587,922800,1505900,922850,1505850,922825,1505875,13
1508197,922850,1505900,922900,1505850,922875,1505875,13
1544916,925750,1476150,925800,1476100,925775,1476125,13
1625790,932400,1505150,932450,1505100,932425,1505125,13
1639705,933600,1498000,933650,1497950,933625,1497975,13
1742085,945250,1496100,945300,1496050,945275,1496075,13
1744040,946150,1494050,946200,1494000,946175,1494025,13
1745174,947400,1496750,947450,1496700,947425,1496725,13
1745201,947450,1497300,947500,1497250,947475,1497275,13
1025836,881050,1488950,881100,1488900,881075,1488925,12
1056493,884850,1472100,884900,1472050,884875,1472075,12
1072444,886300,1476950,886350,1476900,886325,1476925,12
1100272,888950,1495850,889000,1495800,888975,1495825,12
1109741,889800,1479800,889850,1479750,889825,1479775,12
1139952,892550,1489950,892600,1489900,892575,1489925,12
1143527,892850,1477400,892900,1477350,892875,1477375,12
1146908,893200,1498350,893250,1498300,893225,1498325,12
1209788,898850,1473250,898900,1473200,898875,1473225,12
1209790,898850,1473150,898900,1473100,898875,1473125,12
1249684,902400,1501150,902450,1501100,902425,1501125,12
1311162,907350,1503250,907400,1503200,907375,1503225,12
1311171,907350,1502800,907400,1502750,907375,1502775,12
1327556,908600,1474150,908650,1474100,908625,1474125,12
1327599,908650,1503200,908700,1503150,908675,1503175,12
1331325,908950,1502600,909000,1502550,908975,1502575,12
1360785,911250,1472700,911300,1472650,911275,1472675,12
1363471,911500,1495300,911550,1495250,911525,1495275,12
1379034,912700,1473250,912750,1473200,912725,1473225,12
1383649,913100,1503000,913150,1502950,913125,1502975,12
1391243,913650,1473000,913700,1472950,913675,1472975,12
1506978,922750,1505950,922800,1505900,922775,1505925,12
1507583,922800,1506100,922850,1506050,922825,1506075,12
1510636,923050,1505950,923100,1505900,923075,1505925,12
1511868,923150,1505750,923200,1505700,923175,1505725,12
